,,Scoring,,,,,Goals,,,,Assists,,,,,,
Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Zach Bogosian,0,0,0,1,2,0,0,0,0,0,0,0,2,0,24,20:13
2,Rasmus Dahlin,1,0,1,1,0,0,1,0,1,0,0,0,2,50,22,21:01
3,Jack Eichel,0,2,2,1,0,0,0,0,0,1,1,0,4,0,21,21:20
4,Remi Elie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,9:58
5,Zemgus Girgensons,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,15:09
6,Johan Larsson,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,14:03
7,Jake McCabe,0,0,0,1,0,0,0,0,0,0,0,0,0,,24,20:17
8,Casey Mittelstadt,0,0,0,1,0,0,0,0,0,0,0,0,2,0,16,11:26
9,Kyle Okposo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,10:53
10,Lawrence Pilut,0,1,1,0,0,0,0,0,0,1,0,0,1,0,20,15:40
11,Sam Reinhart,0,2,2,2,0,0,0,0,0,2,0,0,1,0,19,20:20
12,Rasmus Ristolainen,0,1,1,0,0,0,0,0,0,0,1,0,1,0,27,23:08
13,Evan Rodrigues,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,15:48
14,Marco Scandella,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22,18:04
15,Conor Sheary,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,13:03
16,Jeff Skinner,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,19:55
17,Vladimir Sobotka,0,0,0,0,2,0,0,0,0,0,0,0,2,0,17,13:31
18,Tage Thompson,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,10:30
,TOTAL,3,6,9,,4,2,1,0,,,,,33,9.1,,
